연번,지역,요양기관명칭,종별,주소,전화번호
1,종로구,서울대학교병원,상급종합병원,서울특별시 종로구 대학로 101 (연건동),1588-5700
2,성북구,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),상급종합병원,서울특별시 성북구 고려대로 73 (안암동5가),1577-0083
3,서대문구,연세대학교의과대학세브란스병원,상급종합병원,서울특별시 서대문구 연세로 50-1 (신촌동),02-2228-0114
4,구로구,고려대학교의과대학부속구로병원,상급종합병원,서울특별시 구로구 구로동로 148 (구로동),02-2626-1114
5,송파구,재단법인아산사회복지재단 서울아산병원,상급종합병원,서울특별시 송파구 올림픽로43길 88 (풍납동),02-3010-3114
6,강남구,차의과학대학교 강남차병원,종합병원,서울특별시 강남구 논현로 566 (역삼동),02-3468-3000
7,양천구,이화여자대학교의과대학부속목동병원,상급종합병원,서울특별시 양천구 안양천로 1071 (목동),02-2650-5114
8,강남구,삼성서울병원,상급종합병원,서울특별시 강남구 일원로 81 (일원동),02-3410-2114
9,노원구,노원을지대학교병원,종합병원,서울특별시 노원구 한글비석로 68 (하계동),02-970-8000
10,강서구,미즈메디병원,종합병원,서울특별시 강서구 강서로 295 (내발산동),02-2007-1000
11,중구,국립중앙의료원,종합병원,서울특별시 중구 을지로 245 (을지로6가),02-2260-7114
12,중랑구,서울특별시서울의료원,종합병원,서울특별시 중랑구 신내로 156 (신내동),02-2276-7000
13,강서구,유광사여성병원,병원,서울특별시 강서구 강서로 194 (화곡동),02-2608-1011
14,동대문구,의료법인마리아의료재단마리아병원,병원,서울특별시 동대문구 천호대로 20 (신설동),02-2234-6555
15,노원구,메디아이여성병원,병원,서울특별시 노원구 노원로 448 (상계동),02-936-2122
16,도봉구,에이치큐브병원,병원,서울특별시 도봉구 도봉로 604 (창동),02-900-2000
17,송파구,의료법인마리아의료재단마리아병원,병원,서울특별시 송파구 송이로 152 (가락동),02-2152-6555
18,구로구,삼성미래여성병원,병원,서울특별시 구로구 서해안로 2296 (오류동),02-2682-2100
19,중랑구,의료법인마리아의료재단마리아의원,의원,서울특별시 중랑구 망우로 267 (상봉동),02-2218-7555
